,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
211,/players/b/brownst02.html,Sterling Brown,2018,2022,G,SMU,6-5,219,"February 10, 1995",2.6,.364,0.9,.518,.420,2.0,4.8,.796,0.5,0.6,263,5.4,2.1,.451,0.9,,5.8,.504,2.9,.770,1.9,1.4,136,8.2
212,/players/b/browntr01.html,Troy Brown Jr.,2019,2022,G-F,Oregon,6-6,215,"July 28, 1999",2.0,.335,0.7,.488,.429,2.4,5.7,.754,0.8,1.1,217,6.4,3.1,.291,0.9,,9.2,.444,4.1,.743,3.0,2.2,35,11.3
213,/players/b/brunsja01.html,Jalen Brunson,2019,2022,G,Villanova,6-1,190,"August 31, 1996",2.7,.372,1.0,.548,.494,4.6,9.3,.799,1.6,2.0,274,11.8,3.9,.393,1.5,,9.8,.510,5.0,.820,3.5,2.9,116,14.4
214,/players/b/brussni01.html,Nicolás Brussino,2017,2018,G-F,,6-7,195,"March 2, 1993",1.7,.299,0.5,.465,.364,0.9,2.5,.773,0.3,0.4,58,2.6,,,,,,,,,,,,
215,/players/b/bryanel01.html,Elijah Bryant,2021,2021,G,"Elon University, BYU",6-5,210,"April 19, 1995",5.0,.200,1.0,.500,.462,6.0,13.0,1.000,3.0,3.0,1,16.0,4.6,.366,1.7,,10.9,.437,4.7,.800,4.9,3.9,91,15.1
216,/players/b/bryanth01.html,Thomas Bryant,2018,2022,C,Indiana,6-10,248,"July 31, 1997",1.6,.352,0.5,.631,.592,4.1,7.0,.764,1.5,1.9,168,10.3,1.1,.373,0.4,,7.5,.592,4.4,.718,4.1,3.0,69,12.2
217,/players/b/buchash01.html,Shaq Buchanan,2022,2022,G,"Northeast Mississippi Community College, Murray State",6-3,190,"January 30, 1997",1.0,.000,0.0,.250,.250,0.5,2.0,,0.0,0.0,2,1.0,3.2,.324,1.0,,8.9,.484,4.3,.701,2.1,1.5,65,11.1
218,/players/b/budinch01.html,Chase Budinger,2010,2016,F,Arizona,6-7,209,"May 22, 1988",2.9,.352,1.0,.504,.430,2.9,6.8,.797,1.0,1.3,407,7.9,5.0,.383,1.9,,12.8,.469,6.0,.782,4.0,3.1,100,17.0
219,/players/b/bullore01.html,Reggie Bullock,2014,2022,G-F,UNC,6-6,205,"March 16, 1991",4.2,.385,1.6,.551,.428,2.8,6.6,.842,0.6,0.7,431,7.8,4.9,.387,1.9,,8.2,.439,3.6,.720,1.2,0.9,100,9.9
220,/players/b/burkepa01.html,Pat Burke,2003,2007,C-F,Auburn,6-11,250,"December 14, 1973",0.3,.250,0.1,.417,.408,1.6,3.8,.663,0.5,0.7,127,3.7,0.8,.222,0.2,,7.2,.491,3.5,.631,2.7,1.7,120,8.9
221,/players/b/burketr01.html,Trey Burke,2014,2022,G,Michigan,6-0,185,"November 12, 1992",3.3,.344,1.1,.473,.411,3.7,9.1,.810,1.1,1.3,495,9.7,5.0,.367,1.8,,13.3,.450,6.0,.777,4.0,3.1,73,16.9
222,/players/b/burksal01.html,Alec Burks,2012,2022,G,Colorado,6-6,214,"July 20, 1991",2.8,.379,1.1,.480,.418,3.6,8.5,.800,2.4,3.0,622,10.6,2.2,.313,0.7,,12.6,.495,6.2,.804,7.3,5.9,68,19.0
223,/players/b/burksan01.html,Antonio Burks,2005,2006,G,Memphis,6-1,200,"February 25, 1980",0.2,.235,0.0,.397,.387,1.0,2.5,.571,0.3,0.5,81,2.3,1.7,.401,0.7,,9.2,.469,4.3,.673,3.0,2.0,91,11.3
224,/players/b/burleke01.html,Kevin Burleson,2006,2006,G,Minnesota,6-3,205,"September 4, 1979",1.4,.185,0.3,.307,.250,0.6,2.3,.941,0.4,0.4,39,1.8,3.6,.331,1.2,,6.0,.371,2.2,.751,1.9,1.4,123,7.0
